iter	Passed	Remaining
0	138	138186
1	140	69931
2	142	47271
3	143	35832
4	145	28970
5	147	24371
6	149	21137
7	150	18718
8	152	16802
9	154	15254
10	155	13987
11	157	12934
12	158	12046
13	160	11295
14	161	10623
15	163	10048
16	164	9536
17	166	9093
18	168	8680
19	169	8305
20	170	7965
21	172	7655
22	173	7372
23	174	7111
24	176	6872
25	177	6659
26	179	6454
27	180	6269
28	182	6100
29	183	5938
30	185	5784
31	186	5639
32	187	5504
33	189	5377
34	190	5256
35	192	5147
36	193	5039
37	194	4934
38	196	4839
39	197	4744
40	198	4653
41	200	4563
42	201	4473
43	201	4388
44	202	4307
45	203	4229
46	204	4154
47	206	4087
48	206	4016
49	207	3947
50	208	3881
51	209	3817
52	210	3756
53	211	3701
54	212	3646
55	212	3589
56	213	3533
57	214	3479
58	214	3427
59	215	3376
60	216	3327
61	216	3279
62	217	3234
63	218	3190
64	218	3147
65	219	3105
66	220	3069
67	221	3032
68	222	2995
69	222	2958
70	223	2922
71	224	2887
72	224	2853
73	225	2819
74	226	2788
75	226	2757
76	227	2726
77	228	2695
78	228	2665
79	229	2635
80	229	2606
81	230	2578
82	230	2548
83	231	2521
84	231	2495
85	232	2469
86	232	2444
87	233	2420
88	234	2397
89	234	2374
90	235	2351
91	236	2329
92	236	2307
93	237	2286
94	237	2264
95	238	2244
96	238	2223
97	239	2203
98	239	2184
99	240	2164
100	241	2146
101	241	2129
102	242	2111
103	243	2093
104	243	2076
105	244	2059
106	244	2042
107	245	2025
108	245	2009
109	246	1993
110	246	1977
111	247	1962
112	248	1947
113	248	1933
114	249	1918
115	249	1904
116	250	1889
117	250	1875
118	251	1861
119	252	1848
120	252	1834
121	253	1820
122	253	1808
123	254	1795
124	254	1783
125	255	1770
126	255	1757
127	256	1746
128	257	1735
129	257	1724
130	258	1713
131	258	1701
132	259	1690
133	259	1679
134	260	1668
135	261	1658
136	261	1647
137	262	1637
138	262	1627
139	263	1617
140	263	1607
141	264	1596
142	264	1587
143	265	1577
144	265	1568
145	266	1559
146	267	1549
147	267	1540
148	268	1531
149	268	1522
150	269	1514
151	269	1505
152	270	1497
153	270	1488
154	271	1480
155	272	1473
156	272	1465
157	273	1457
158	274	1449
159	274	1441
160	274	1432
161	275	1425
162	276	1417
163	276	1410
164	277	1402
165	277	1395
