iter	Passed	Remaining
0	136	136110
1	137	68448
2	138	46107
3	139	34855
4	140	28010
5	141	23458
6	142	20207
7	143	17759
8	144	15879
9	145	14357
10	145	13105
11	146	12062
12	147	11183
13	148	10431
14	149	9794
15	150	9245
16	151	8748
17	154	8420
18	155	8029
19	156	7659
20	157	7330
21	158	7026
22	158	6748
23	159	6491
24	160	6254
25	161	6034
26	161	5833
27	162	5647
28	163	5487
29	164	5326
30	165	5174
31	166	5032
32	168	4940
33	169	4824
34	170	4704
35	171	4587
36	171	4476
37	172	4371
38	173	4270
39	173	4175
40	174	4087
41	175	4001
42	176	3924
43	177	3848
44	177	3772
45	178	3699
46	179	3629
47	179	3563
48	180	3500
49	181	3440
50	182	3396
51	183	3353
52	184	3302
53	185	3251
54	186	3203
55	187	3156
56	188	3111
57	189	3069
58	189	3029
59	190	2989
60	191	2950
61	192	2911
62	193	2874
63	194	2838
64	194	2801
65	195	2769
66	196	2741
67	198	2718
68	199	2692
69	200	2662
70	201	2632
71	202	2605
72	202	2576
73	203	2547
74	204	2520
75	205	2493
76	205	2466
77	206	2440
78	207	2414
79	207	2389
80	208	2366
81	209	2342
82	209	2315
83	210	2292
84	211	2279
85	213	2268
86	214	2250
87	215	2231
88	216	2212
89	216	2192
90	217	2173
91	218	2154
92	219	2136
93	219	2120
94	220	2103
95	221	2088
96	222	2071
97	223	2054
98	223	2038
99	224	2022
100	225	2007
101	226	1997
102	228	1992
103	229	1978
104	230	1964
105	231	1950
106	232	1937
107	232	1923
108	233	1910
109	234	1897
110	235	1885
111	236	1873
112	237	1860
113	237	1848
114	238	1836
115	239	1824
116	240	1812
117	241	1801
118	242	1795
119	243	1788
120	244	1778
121	245	1766
122	246	1757
123	247	1747
124	248	1738
125	249	1728
126	249	1717
127	250	1707
128	251	1697
129	252	1687
130	252	1678
131	253	1668
132	254	1661
133	255	1653
134	257	1652
135	259	1647
136	260	1643
137	261	1636
138	262	1628
139	263	1618
140	264	1609
141	264	1599
142	265	1589
143	265	1580
144	266	1572
145	267	1563
146	268	1555
147	269	1549
148	269	1540
149	270	1532
150	271	1525
151	272	1522
152	273	1515
153	274	1509
154	275	1502
155	276	1495
156	277	1488
157	278	1481
158	278	1474
159	279	1468
160	280	1460
161	281	1454
162	281	1447
163	282	1442
164	283	1435
165	284	1428
166	285	1422
167	285	1415
168	288	1417
169	289	1415
170	290	1409
171	291	1403
172	292	1396
173	293	1391
174	293	1385
175	294	1379
176	295	1374
177	296	1368
178	297	1362
179	297	1356
180	298	1350
181	299	1345
182	300	1340
183	300	1334
184	302	1331
185	303	1327
186	304	1323
187	305	1318
188	306	1313
189	306	1307
190	307	1303
191	308	1298
192	309	1293
193	310	1288
194	310	1283
195	311	1279
196	312	1274
197	313	1270
198	314	1265
199	315	1260
200	316	1256
201	317	1254
202	318	1251
203	319	1246
204	320	1242
205	321	1238
206	321	1233
207	322	1228
208	323	1224
209	324	1219
210	324	1214
211	325	1210
212	326	1206
213	327	1202
214	328	1198
215	329	1194
216	329	1190
217	330	1185
218	333	1188
219	334	1187
220	335	1183
221	336	1179
222	337	1175
223	338	1171
224	339	1167
225	340	1164
226	341	1161
227	341	1157
228	342	1153
229	343	1149
230	344	1145
231	345	1142
232	345	1138
233	349	1143
234	350	1141
235	351	1137
236	352	1133
237	352	1130
238	353	1126
239	354	1124
240	355	1120
241	356	1116
242	357	1112
243	357	1109
244	358	1104
245	359	1101
246	359	1097
247	360	1093
248	361	1090
249	362	1087
250	363	1085
251	364	1082
252	365	1078
253	366	1075
254	366	1071
255	367	1068
256	368	1064
257	368	1061
258	369	1057
259	370	1053
260	370	1050
261	371	1046
262	372	1043
263	373	1040
264	374	1037
265	374	1034
266	375	1031
267	376	1027
268	380	1033
269	381	1030
270	382	1027
271	382	1024
272	383	1021
273	384	1018
274	385	1015
275	386	1012
276	386	1009
277	387	1007
278	388	1004
279	389	1001
280	390	998
281	391	995
282	392	995
283	394	994
284	395	993
285	396	990
286	397	987
287	397	983
288	398	980
289	399	977
290	400	974
291	400	972
292	401	969
293	402	966
294	403	963
295	403	960
296	404	957
297	405	955
298	406	952
299	409	955
300	410	952
301	410	949
302	411	946
303	412	944
304	413	941
305	414	939
306	415	936
307	415	934
308	416	931
309	417	928
310	418	926
311	418	923
312	419	921
313	421	920
314	423	920
315	425	920
316	426	919
317	427	916
318	428	914
319	428	911
320	429	909
321	430	906
322	431	904
323	432	901
324	433	899
325	433	896
326	434	894
327	435	892
328	436	889
329	436	887
330	440	890
331	441	888
332	442	886
333	443	883
334	444	881
335	444	879
336	445	876
337	446	874
338	447	872
339	448	870
340	449	867
341	450	866
342	451	865
343	452	863
344	453	861
345	454	858
346	455	856
347	455	853
348	456	851
349	457	849
350	457	846
351	458	844
352	459	841
353	459	839
354	460	836
355	461	834
356	461	831
357	462	829
358	463	827
359	463	824
360	465	824
361	467	823
362	467	821
363	468	818
364	469	816
365	470	814
366	471	812
367	471	810
368	472	808
369	473	806
370	474	804
371	475	802
372	477	803
373	478	801
374	479	799
375	480	797
376	481	795
377	482	793
378	482	791
379	483	789
380	484	787
381	485	785
382	486	783
383	487	781
384	487	779
385	488	776
386	489	775
387	490	773
388	491	772
389	492	770
390	493	768
391	494	766
392	494	764
393	495	762
394	496	760
395	497	758
396	498	756
397	499	755
398	499	753
399	500	751
400	501	749
401	502	747
402	503	745
403	504	743
404	506	744
405	507	742
406	508	740
407	509	738
408	510	736
409	510	734
410	511	733
411	512	731
412	513	729
413	513	727
414	514	725
415	515	723
416	515	721
417	516	719
418	517	717
419	518	715
420	520	715
421	523	717
422	525	716
423	527	716
424	528	715
425	530	714
426	547	734
427	548	732
428	550	732
429	551	731
430	553	730
431	554	729
432	559	732
433	560	731
434	561	729
435	563	728
436	563	726
437	564	724
438	565	722
439	567	722
440	569	721
441	570	720
442	572	719
443	573	717
444	573	715
445	574	713
446	575	711
447	576	709
448	576	707
449	577	705
450	578	704
451	579	702
452	580	700
453	581	699
454	583	698
455	584	697
456	586	696
457	587	694
458	587	693
459	589	691
460	590	690
461	591	688
462	592	686
463	593	685
464	594	683
465	596	683
466	598	683
467	600	682
468	601	680
469	602	678
470	603	677
471	604	675
472	605	674
473	606	672
474	607	671
475	608	669
476	609	667
477	613	670
478	615	669
479	623	675
480	629	678
481	656	705
482	664	711
483	665	709
484	667	708
485	668	707
486	670	705
487	671	704
488	672	702
489	685	713
490	687	712
491	688	710
492	689	709
493	701	718
494	703	717
495	704	715
496	705	713
497	708	713
498	711	713
499	712	712
500	713	710
501	714	708
502	716	708
503	717	706
504	718	704
505	719	702
506	721	701
507	728	705
508	729	703
509	730	701
510	731	699
511	732	698
512	733	696
513	734	694
514	735	692
515	743	697
516	744	695
517	745	694
518	747	692
519	748	690
520	749	688
521	750	687
522	751	685
523	762	692
524	764	691
525	767	691
526	768	689
527	773	691
528	774	689
529	775	688
530	776	686
531	777	684
532	778	682
533	779	680
534	780	678
535	780	675
536	781	674
537	782	672
538	783	670
539	785	669
540	788	668
541	790	667
542	792	666
543	793	665
544	794	663
545	795	661
546	796	659
547	797	658
548	798	656
549	802	656
550	804	655
551	806	654
552	807	653
553	809	651
554	812	651
555	813	649
556	817	649
557	818	648
558	820	647
559	839	659
560	840	657
561	843	657
562	844	655
563	845	653
564	849	654
565	851	652
566	853	651
567	855	650
568	856	648
569	857	646
570	858	645
571	860	643
572	862	642
573	869	645
574	870	643
575	872	642
576	873	640
577	874	638
578	875	636
579	877	635
580	878	633
581	879	631
582	880	629
583	881	628
584	883	626
585	884	624
586	885	622
587	886	621
588	887	619
589	888	617
590	891	617
591	893	615
592	894	613
593	895	612
594	896	610
595	897	608
596	898	606
597	899	604
598	900	603
599	901	601
600	902	599
601	904	597
602	905	596
603	909	596
604	910	594
605	911	592
606	913	591
607	913	589
608	914	587
609	915	585
610	917	583
611	918	582
612	919	580
613	921	579
614	922	577
615	923	575
616	924	573
617	924	571
618	925	569
619	926	568
620	927	566
621	929	564
622	930	562
623	931	561
624	932	559
625	933	557
626	934	555
627	936	554
628	938	553
629	939	551
630	940	549
631	941	547
632	942	546
633	943	544
634	944	542
635	945	541
636	946	539
637	947	537
638	948	536
639	950	534
640	951	533
641	952	531
642	953	529
643	954	527
644	955	525
645	956	524
646	957	522
647	958	520
648	959	519
649	960	517
650	961	515
651	962	513
652	964	512
653	966	511
654	967	509
655	968	507
